,tape_avg_90,t5_3,t5_10,prot_bert_bfd_0,tape_avg_13,ASDC_55,t5_59,t5_62,prot_bert_bfd_62,tape_avg_104,tape_avg_123,ASDC_129,prot_bert_bfd_229,t5_95,t5_88,t5_29,t5_68,t5_15,t5_30,ASDC_48
0,-0.3389182,0.0070080133,0.03775416,0.4578138482507038,-0.09513423,0.0014320457267014,0.16583274,0.10616422,0.0956429356937186,0.12890586,0.3518402,0.0015061170573929,0.002213432800941,-0.05367573,0.026642464,0.09503996,0.14449494,0.019162543,-0.113765836,0.001493771835611
1,-0.8833742,0.07959007,0.015509931,-0.0820396007857173,-0.51677626,0.0027585754526869,0.039552793,0.13015683,0.0967143807479528,-0.7749667,0.34600812,0.00220183961716,-0.0073601607200585,-0.116428934,0.005570734,0.031515554,0.08313034,0.06321889,-0.08397929,0.001311872077896
2,-0.5096102,0.018278908,0.022675755,0.552504647427109,-0.24431317,0.0037184461127626,0.0029039178,0.11943018,0.0512261869979139,-0.04900072,0.110973716,0.0020758804857157,0.0125865840259373,-0.027564479,0.0020658837,0.0069586937,0.094978705,0.014421787,-0.07364087,0.0020557263062427
3,-0.6275246,0.07124282,0.11060075,-0.2798104409289408,-0.10164365,0.0028902582159624,0.20941204,0.08854602,0.0685623961516284,-0.055790946,0.77887166,0.0025283646322378,0.0006079142546923,-0.09869199,0.0082508605,0.040547613,0.11368684,0.010853559,0.005030219,0.0020931142410015
4,-0.83723134,0.04684628,0.06371353,-0.0215033650662415,0.51297563,0.0006181623955567,0.04308114,0.10175317,0.1476122672110165,0.21305825,-0.9665524,0.0026005774495852,-0.0304350643390574,-0.06814146,0.025993597,0.03253872,0.14648135,0.04299296,0.0012207418,0.0004752940473389
5,-0.36745507,0.020455584,-0.008286044,0.0335548779289394,-0.16903275,0.0037201172413287,0.28352016,0.08010298,0.0799902972344256,-0.22757049,0.49513447,0.0028304328644588,0.0029635137261484,-0.059058376,-0.0053606015,0.06585893,0.096812785,0.03592829,-0.07009155,0.0021943452122091
6,-0.39861965,0.096465684,0.03691776,0.323285261138908,0.16653633,0.0004649832488948,0.06636189,0.10961402,-0.0204803707014038,0.6067816,0.43510145,0.0006606776378181,0.0046194740369737,-0.18499357,0.065870054,0.05557787,0.06321389,0.035515405,-0.051291943,0.0005185065005661
7,-0.7741873,-0.026586117,0.00088506646,-0.0408289536423502,0.075641125,0.0028685192951934,0.1404476,0.08142889,0.1148512923166004,-0.055428497,0.3633904,0.002614805494716,0.0063855607283828,0.059353817,-0.01752386,-0.060231943,0.21140797,-0.101411134,-0.22857955,0.0025164266741227
8,-1.2769552,0.08431153,0.060799114,-0.1347745674510681,-0.63879025,0.001641586867305,0.056513555,0.035865355,0.0382311438659725,-0.53955173,0.43063042,0.00109439124487,-0.0076382928093026,-0.22697873,0.007784144,0.03232618,0.06871202,0.027340317,-0.07602016,0.0030095759233926
9,0.08179565,0.03243753,0.030601742,0.4855108371512456,-0.11209932,0.0012894906511927,-0.13746037,0.10046984,0.1117435537978908,0.24923362,0.14287227,0.0015473887814313,0.0809325679902086,-0.040753357,0.03292376,0.028934216,0.05010096,0.03405741,-0.071608745,0.0005342175554941
